wall,loadavg_1m,cpu_busy_pct,rt_ratio_dl,rt_ratio_ul,gpu_temp_c,gpu_util_pct,gpu_mem_mib
1789622750.966,8.31,39.3,0.9355,0.9355,67,0,2880
1789622751.968,8.28,40.8,0.9207,0.9207,76,88,2880
1789622752.972,8.28,36.9,0.9243,0.9243,67,0,2863
1789622753.976,8.28,44.4,0.9287,0.9277,76,89,2863
1789622754.98,8.28,33.4,0.9256,0.9265,75,91,2863
1789622755.982,8.28,29.3,0.9299,0.9289,75,89,2863
1789622756.984,7.94,35.1,0.933,0.9329,73,86,2863
1789622757.986,7.94,40.7,0.9232,0.9232,75,88,2863
1789622758.989,7.94,37.1,0.9306,0.9306,74,88,2863
1789622759.991,7.94,21.7,0.9353,0.9363,75,33,2863
1789622760.993,7.94,41.7,0.9259,0.9255,74,88,2863
1789622761.996,8.43,23.7,0.9318,0.9319,75,20,2863
1789622763.0,8.43,43.7,0.9301,0.9304,76,88,2863
1789622764.002,8.43,17.6,0.9367,0.9357,67,0,2863
1789622765.005,8.43,29.7,0.9362,0.9372,65,23,2863
1789622766.007,8.43,37.0,0.9232,0.9232,76,82,2863
1789622767.009,9.27,40.7,0.9253,0.9243,75,89,2863
1789622768.012,9.27,25.9,0.9221,0.9231,76,40,2863
1789622769.014,9.27,34.4,0.9232,0.9232,75,88,2863
1789622770.017,9.27,31.7,0.9267,0.9267,66,63,2863
1789622771.019,9.27,40.2,0.9091,0.9081,75,88,2863
1789622772.021,9.89,39.8,0.9112,0.9122,75,88,2863
1789622773.024,9.89,26.3,0.9305,0.9305,67,0,2863
1789622774.027,9.89,43.6,0.9241,0.9241,75,88,2863
1789622775.029,9.89,35.9,0.9292,0.9292,76,90,2863
1789622776.032,9.89,26.4,0.9316,0.9316,69,0,2863
1789622777.035,10.22,36.8,0.9281,0.9271,76,88,2863
1789622778.04,10.22,29.2,0.9219,0.9228,67,27,2863
1789622779.043,10.22,42.4,0.9239,0.9229,76,89,2863
1789622780.045,10.22,38.0,0.9228,0.9238,75,89,2863
1789622781.047,10.22,25.8,0.9308,0.9308,73,0,2863
1789622782.049,10.92,39.6,0.9231,0.9231,76,85,2863
1789622783.051,10.92,39.7,0.9342,0.9332,69,0,2863
1789622784.054,10.92,42.0,0.929,0.93,76,90,2863
1789622785.056,10.92,36.8,0.9385,0.9385,67,87,2863
1789622786.058,10.92,28.0,0.9293,0.9283,76,65,2863
1789622787.061,11.41,37.4,0.929,0.929,75,89,2863
1789622788.062,11.41,26.8,0.9343,0.9353,68,35,2863
1789622789.064,11.41,39.1,0.9282,0.9272,75,89,2863
1789622790.067,11.41,26.7,0.9346,0.9352,68,54,2863
1789622791.07,11.41,41.7,0.9322,0.9319,77,80,2863
1789622792.073,11.62,37.9,0.9283,0.929,73,89,2863
1789622793.076,11.62,38.4,0.9344,0.9344,76,22,2863
1789622794.079,11.62,42.6,0.9169,0.9159,75,89,2863
1789622795.082,11.62,38.9,0.9318,0.9318,68,63,2863
1789622796.084,11.62,33.7,0.9181,0.9181,76,89,2863
1789622797.086,10.85,32.0,0.9261,0.9261,67,88,2863
1789622798.089,10.85,30.0,0.9179,0.9179,76,87,2863
1789622799.092,10.85,35.0,0.9259,0.9269,71,89,2863
1789622800.094,10.85,38.9,0.9272,0.9272,72,0,2863
1789622801.096,10.85,39.7,0.9271,0.9261,76,70,2863
1789622802.098,11.10,39.6,0.927,0.927,75,89,2863
1789622803.1,11.10,42.1,0.9242,0.9252,70,0,2863
1789622804.102,11.10,39.2,0.9138,0.9131,77,89,2863
1789622805.105,11.10,26.1,0.9312,0.931,69,0,2863
1789622806.107,11.10,34.6,0.9262,0.9272,77,89,2863
1789622807.109,10.45,31.6,0.925,0.925,67,90,2863
1789622808.111,10.45,42.8,0.9218,0.9208,77,89,2863
1789622809.114,10.45,38.1,0.9265,0.9275,78,89,2863
1789622810.116,10.45,26.7,0.9328,0.9328,70,0,2863
1789622811.118,10.45,33.2,0.9302,0.9292,77,89,2863
1789622812.122,9.77,32.7,0.9294,0.9306,67,89,2863
1789622813.124,9.77,40.0,0.9363,0.936,77,0,2863
1789622814.127,9.77,38.1,0.9195,0.9192,76,87,2863
1789622815.129,9.77,28.3,0.922,0.9213,68,44,2863
1789622816.132,9.77,43.6,0.9088,0.9098,76,90,2863
1789622817.134,9.47,34.8,0.9221,0.9221,67,88,2863
1789622818.136,9.47,42.7,0.9341,0.9341,71,89,2863
1789622819.138,9.47,36.7,0.922,0.922,76,89,2863
1789622820.14,9.47,39.7,0.9321,0.9311,67,0,2863
1789622821.142,9.47,38.0,0.9171,0.9181,77,88,2863
1789622822.145,9.11,27.2,0.9185,0.9179,76,22,2863
1789622823.147,9.11,34.3,0.9122,0.9128,76,89,2863
1789622824.151,9.11,31.7,0.9222,0.9222,76,89,2863
1789622825.153,9.11,28.6,0.9213,0.9203,73,51,2863
1789622826.157,9.11,36.9,0.9188,0.9198,77,89,2863
1789622827.16,8.78,25.6,0.929,0.929,67,13,2863
