wall,cell,event,detail
1789624880.476,c032,start,"{""path"": ""ran"", ""model"": ""qwen2.5:3b"", ""prompt"": ""long"", ""loss"": 0, ""delay"": 100, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 100.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8031: root refcnt 2 limit 1000 delay 100ms""}, ""downlink"": {""delay_ms"": 100.0, ""loss_pct"": 0.0, ""raw"": ""qdisc netem 8032: root refcnt 2 limit 1000 delay 100ms""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789625000.947,c032,done,attempt 1
1789625001.893,c033,start,"{""path"": ""ran"", ""model"": ""qwen2.5:0.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": true, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789625020.885,c033,done,attempt 1
1789625021.929,c034,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""long"", ""loss"": 0.5, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 0.0, ""loss_pct"": 0.5, ""raw"": ""qdisc netem 8033: root refcnt 2 limit 1000 loss 0.5%""}, ""downlink"": {""delay_ms"": 0.0, ""loss_pct"": 0.5, ""raw"": ""qdisc netem 8034: root refcnt 2 limit 1000 loss 0.5%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789625103.969,c034,done,attempt 1
1789625105.032,c035,start,"{""path"": ""ran"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 1, ""delay"": 50, ""sentinel"": false, ""qdisc"": {""netem"": true, ""uplink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8035: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""downlink"": {""delay_ms"": 50.0, ""loss_pct"": 1.0, ""raw"": ""qdisc netem 8036: root refcnt 2 limit 1000 delay 50ms loss 1%""}, ""ingress"": true, ""redirect"": true, ""ifb"": true}}"
1789625157.259,c035,done,attempt 1
1789625157.333,c036,start,"{""path"": ""loopback"", ""model"": ""qwen2.5:1.5b"", ""prompt"": ""short"", ""loss"": 0, ""delay"": 0, ""sentinel"": false, ""qdisc"": {""netem"": false, ""uplink"": null, ""downlink"": null, ""ingress"": false, ""redirect"": false, ""ifb"": false}}"
1789625192.328,c036,done,attempt 1
